id,name,class,location,buy,sell,obtained
alpha_milano_156,"Alpha Milano 156",D,"Docks",14000,9000,true
bavaria_m5,"Bavaria M5",B,"GTA 2 Crime",,43000,true
bavaria_x5,"Bavaria X5",D,"Docks",35000,20000,true
bavaria_z8,"Bavaria Z8",C,"GTA 2/3 Crime",,80000,true
bedford_nova,"Bedford Nova",D,"GTA 3 Crime",,8500,false
bedford_racer,"Bedford Racer",E,"Docks",9000,7000,true
cagoutte_10_6,"Cagoutte 10-6",E,"Docks",8000,6500,true
chevalier_cvr,"Chevalier CVR",D,"GTA 1/2 Crime",,5600,true
chevalier_cz06,"Chevalier CZ06",C,"Docks & GTA 2 Crime",75000,50000,true
coche_basurero,"Coche Basurero",D,"Docks",17500,11000,true
colina_tanprice,"Colina Tanprice",B,"GTA 2 Crime",,22000,true
cosmos_ex,"Cosmos EX",B,"Docks",40000,19000,true
dart_rampager,"Dart Rampager",B,"GTA 2/3 Crime",,69000,true
echo_quadrato,"Echo Quadrato",C,"Docks & GTA 2/3 Crime",85000,55000,true
echo_r8,"Echo R8",A,"Mechanic Shop",,125000,false
echo_s3,"Echo S3",C,"Racing Tournament Prize",,,false
echo_s4,"Echo S4",B,"GTA 2 Crime",,13000,true
edomondo_acd,"Edomondo ACD",D,"GTA 1/2 Crime",,23000,true
edomondo_ir,"Edomondo IR",C,"GTA 1/2 Crime",,15000,true
edomondo_locale,"Edomondo Locale",E,"GTA 1/2 Crime",,9000,true
edomondo_nsx,"Edomondo NSX",A,"GTA 1/2 Crime",,40000,true
edomondo_s2,"Edomondo S2",C,"Docks",40000,21000,true
invader_h3,"Invader H3",D,"GTA 1/2 Crime",,21000,true
knight_firebrand,"Knight Firebrand",C,"GTA 2/3 Crime",,59000,true
lambrini_torobravo,"Lambrini Torobravo",A,"Currently Unobtainable",,812500,true
limoen_saxon,"Limoen Saxon",E,"GTA 2 Crime",,8000,false
lolo_458,"Lolo 458",A,"GTA 3 Crime",,1075000,true
mercia_slr,"Mercia SLR",A,"GTA 3 Crime",,1187500,false
nano_cavalier,"Nano Cavalier",C,"GTA 2 Crime",,27000,true
nano_pioneer,"Nano Pioneer",E,"Docks",9500,7500,true
oceania_ss,"Oceania SS",C,"GTA 1/2 Crime",,25000,true
papani_cole,"Papani Cole",E,"Docks & GTA 1 Crime",11000,8000,true
stalhog_860,"Stalhog 860",E,"GTA 1 Crime",,5500,false
stormatti_casteon,"Stormatti Casteon",A,"Ultimate Racing Tournament Prize",,1000000,false
sturmfahrt_111,"Sturmfahrt 111",B,"Docks",95000,60000,true
tabata_rm2,"Tabata RM2",D,"GTA 1/2 Crime",,29000,true
trident,"Trident",E,"GTA 1/2 Crime",,7000,true
tsubasa_impressor,"Tsubasa Impressor",B,"Docks",55000,28000,true
veloria_lfa,"Veloria LFA",A,"GTA 3 Crime",,875000,true
verpestung_insecta,"Verpestung Insecta",D,"GTA 1/2 Crime",,7600,true
verpestung_sport,"Verpestung Sport",D,"Docks",12500,7300,true
vita_bravo,"Vita Bravo",E,"GTA Crime (?)",,8000,true
volt_gt,"Volt GT",A,"Mechanic Shop & GTA 2 Crime",,150000,true
volt_mng,"Volt MNG",B,"Docks & GTA 1/2 Crime",38000,17000,true
volt_rs,"Volt RS",C,"Docks",55000,30000,true
weston_marlin_177,"Weston Marlin 177",A,"Mechanic Shop",,937500,true
wington_ggu,"Wington GGU",B,"GTA 2 Crime",,32000,false
yotsuhada_evx,"Yotsuhada EVX",B,"GTA Crime (?)",,27000,false
zaibatsu_gtr,"Zaibatsu GT-R",A,"GTA 3 Crime",,87500,false
zaibatsu_macro,"Zaibatsu Macro",E,"GTA 1 Crime",,7500,false
